ISO,ISO3,ISO_Code,FIPS,Display_Name,Official_Name,Capital,Continent,CurrencyCode,CurrencyName,Phone,Region_Code,Region_Name,Subregion_Code,Subregion_Name,Intermediate_Region_Code,Intermediate_Region_Name,Status_of_Country,Developed_Or_Developing,SIDS,LLDC,LDC,Area_SqKm,Population
TA,TAH,973,TA,Tahiti,Tahiti,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
TA,TAM,974,TA,Tamil Eelam,Tamil Eelam,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
TI,TIB,975,TI,Tibet,Tibet,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
TI,TIC,976,TI,Ticino,Ticino,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
TW,TWO,977,TW,Two Sicilies,Two Sicilies,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
UN,UNI,978,UN,United Arab Republic,United Arab Republic,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
UN,UNI,979,UN,United Koreans in Japan,United Koreans in Japan,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
WE,WES,980,WE,West Papua,West Papua,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
WE,WES,981,WE,Western Armenia,Western Armenia,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
WE,WES,982,WE,Western Isles,Western Isles,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
YN,YNY,983,YN,Ynys Môn,Ynys Môn,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
YO,YOR,984,YO,Yorkshire,Yorkshire,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
YO,YOR,985,YO,Yoruba Nation,Yoruba Nation,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
ZA,ZAN,986,ZA,Zanzibar,Zanzibar,unknown,unknown,unknown,unknown,unknown,0,unknown,0,unknown,0,unknown,unknown,unknown,False,False,False,0,0
